umidità temperatura co2 tvoc classe
60 23.600000 1505 175 0
60 23.800000 1505 175 0
60 23.700000 1505 175 0
59 23.700000 1498 170 0
59 23.500000 1498 170 0
60 23.600000 1498 170 0
60 23.500000 1498 170 0
60 23.700000 1498 170 0
60 23.800000 1498 170 0
60 23.700000 1494 168 0
60 23.500000 1494 168 0
60 23.600000 1494 168 0
60 23.800000 1494 168 0
60 23.400000 1494 168 0
60 23.700000 1482 164 0
60 23.900000 1494 168 0
60 23.400000 1482 164 0
60 23.500000 1482 164 0
60 23.800000 1482 164 0
60 23.600000 1482 164 0
60 23.500000 1458 161 0
60 23.800000 1458 161 0
60 23.600000 1458 161 0
60 23.700000 1458 161 0
60 23.400000 1458 161 0
60 23.500000 1432 157 0
60 23.600000 1432 157 0
60 23.800000 1432 157 0
60 23.700000 1432 157 0
60 23.700000 1416 154 0
60 23.800000 1416 154 0
60 23.500000 1416 154 0
60 23.600000 1416 154 0
60 23.900000 1416 154 0
60 23.800000 1400 152 0
60 23.700000 1400 152 0
60 23.600000 1400 152 0
60 23.500000 1389 150 0
60 23.500000 1400 152 0
60 23.800000 1389 150 0
60 23.700000 1389 150 0
60 23.600000 1389 150 0
60 23.800000 1367 147 0
60 23.900000 1367 147 0
59 23.800000 1389 150 0
60 23.600000 1367 147 0
60 23.500000 1367 147 0
60 23.700000 1367 147 0
60 23.800000 1352 145 0
60 23.700000 1352 145 0
60 23.500000 1352 145 0
60 23.900000 1352 145 0
60 23.600000 1352 145 0
60 24.000000 1338 142 0
60 23.700000 1338 142 0
60 23.500000 1338 142 0
60 24.000000 1352 145 0
60 23.600000 1338 142 0
60 23.900000 1338 142 0
60 23.800000 1338 142 0
60 23.900000 1310 138 0
60 23.700000 1310 138 0
60 23.800000 1310 138 0
60 23.500000 1310 138 0
60 23.600000 1310 138 0
60 23.500000 1295 136 0
60 23.700000 1295 136 0
60 23.600000 1295 138 0
60 23.600000 1295 136 0
60 23.800000 1295 136 0
60 23.900000 1295 136 0
60 24.000000 1295 136 0
60 23.600000 1281 134 0
60 23.700000 1281 134 0
60 23.800000 1281 134 0
60 23.900000 1281 134 0
60 23.500000 1281 134 0
60 23.500000 1259 130 0
60 23.600000 1259 130 0
60 23.700000 1259 130 0
60 23.900000 1259 130 0
60 23.800000 1259 130 0
60 23.800000 1245 128 0
60 23.600000 1245 128 0
60 23.500000 1245 128 0
60 24.000000 1245 128 0
60 24.000000 1259 130 0
60 23.900000 1245 128 0
60 23.700000 1245 128 0
60 23.800000 1231 126 0
60 23.900000 1231 126 0
60 23.700000 1231 126 0
60 23.600000 1231 126 0
60 23.500000 1231 126 0
60 24.000000 1231 126 0
60 23.600000 1204 122 0
60 23.700000 1204 122 0
60 23.600000 1191 120 0
60 23.900000 1204 122 0
60 24.000000 1204 122 0
60 24.000000 1191 120 0
60 23.800000 1204 122 0
60 23.600000 1178 118 0
60 23.800000 1191 120 0
60 23.700000 1178 118 0
60 23.900000 1191 120 0
60 23.700000 1191 120 0
60 23.900000 1178 118 0
60 23.800000 1191 118 0
60 24.000000 1178 118 0
60 24.100000 1191 120 0
60 23.600000 1163 116 0
60 24.200000 1191 120 0
60 23.800000 1163 116 0
60 23.500000 1178 118 0
60 23.900000 1163 116 0
60 23.800000 1178 118 0
60 24.200000 1163 116 0
60 24.200000 1178 118 0
60 24.200000 1231 126 0
60 24.200000 1352 145 0
60 24.200000 1338 142 0
60 24.000000 1310 138 0
60 24.300000 1295 136 0
60 24.100000 1295 136 0
60 24.200000 1295 136 0
60 24.200000 1281 134 0
60 24.100000 1281 134 0
60 24.000000 1281 134 0
60 24.200000 1259 130 0
60 24.300000 1245 128 0
60 24.100000 1245 128 0
60 24.200000 1245 128 0
60 24.100000 1231 126 0
60 24.300000 1231 126 0
60 24.100000 1204 122 0
60 24.200000 1204 122 0
60 24.100000 1178 118 0
60 24.100000 1259 130 0
60 24.300000 1204 122 0
60 24.300000 1178 118 0
60 24.300000 1191 120 0
60 24.100000 1163 116 0
60 24.300000 1163 116 0
60 24.100000 1147 113 0
60 24.300000 1147 113 0
60 24.200000 1147 113 0
60 24.000000 1128 110 0
60 24.300000 1128 110 0
60 24.200000 1128 110 0
60 24.100000 1128 110 0
60 24.100000 1113 108 0
60 24.200000 1113 108 0
60 24.300000 1113 108 0
60 24.100000 1099 106 0
60 24.300000 1099 106 0
60 23.500000 1113 108 0
60 24.000000 1113 108 0
60 23.900000 1099 106 0
60 24.200000 1099 106 0
60 23.500000 1099 106 0
60 24.000000 1099 106 0
60 23.600000 1099 106 0
60 24.200000 1086 104 0
60 24.100000 1086 104 0
60 23.900000 1086 104 0
60 24.300000 1086 104 0
60 24.300000 1074 102 0
60 23.900000 1074 102 0
60 24.000000 1086 104 0
60 24.100000 1074 102 0
60 24.200000 1074 102 0
60 24.100000 1053 99 0
60 24.200000 1053 99 0
60 24.000000 1053 99 0
60 23.500000 1053 99 0
60 23.900000 1053 99 0
60 24.300000 1053 99 0
60 23.900000 1029 95 0
60 24.200000 1041 97 0
60 23.800000 1029 95 0
60 24.000000 1041 97 0
60 24.100000 1041 97 0
60 24.300000 1041 97 0
60 24.100000 1029 95 0
60 24.000000 1029 95 0
60 23.900000 1041 97 0
60 23.500000 1029 95 0
60 24.100000 1012 93 0
60 24.200000 1012 93 0
60 24.200000 1029 95 0
60 23.900000 1012 93 0
60 23.500000 1012 93 0
60 24.000000 1012 93 0
60 24.300000 1012 93 0
60 24.100000 997 90 0
60 24.300000 997 90 0
60 24.200000 997 90 0
60 23.900000 997 90 0
60 24.000000 997 90 0
60 24.100000 975 87 0
60 24.100000 987 89 0
60 23.900000 987 89 0
60 23.800000 997 90 0
60 23.800000 987 89 0
60 24.000000 987 89 0
60 24.200000 975 87 0
60 24.100000 961 85 0
60 24.300000 961 85 0
60 23.900000 951 83 0
60 24.200000 961 85 0
60 23.800000 975 87 0
60 23.800000 961 85 0
60 23.900000 961 85 0
60 24.200000 987 89 0
60 23.800000 951 83 0
60 24.200000 951 83 0
60 24.500000 961 85 0
60 23.900000 975 87 0
60 24.300000 951 83 0
70 24.500000 400 0 0
70 24.300000 400 0 0
71 24.900000 414 2 0
69 25.100000 400 0 0
69 24.700000 406 0 0
68 25.200000 400 0 0
67 24.700000 406 0 0
